dcma|http://christian-morgenstern.de/dcma/index.php?title=~{0}
de|https://de.wikipedia.org/wiki/~{0}
delicious|https://www.delicious.com/tag/~{0}
devmo|https://developer.mozilla.org/en/docs/~{0}
dict|http://www.dict.org/bin/Dict?Database=*&Form=Dict1&Strategy=*&Query=~{0}
dictionary|http://www.dict.org/bin/Dict?Database=*&Form=Dict1&Strategy=*&Query=~{0}
diq|https://diq.wikipedia.org/wiki/~{0}
disinfopedia|http://www.sourcewatch.org/wiki.phtml?title=~{0}
distributedproofreaders|http://www.pgdp.net/wiki/~{0}
distributedproofreadersca|http://www.pgdpcanada.net/wiki/index.php/~{0}
dk|https://da.wikipedia.org/wiki/~{0}
dmoz|http://www.dmoz.org/~{0}
dmozs|http://www.dmoz.org/cgi-bin/search?search=~{0}
doi|https://dx.doi.org/~{0}
donate|https://donate.wikimedia.org/wiki/~{0}
doom_wiki|http://doom.wikia.com/wiki/~{0}
download|https://releases.wikimedia.org/~{0}
dpd|http://lema.rae.es/dpd/?key=~{0}
drae|http://lema.rae.es/drae/?val=~{0}
dreamhost|http://wiki.dreamhost.com/index.php/~{0}
drumcorpswiki|http://www.drumcorpswiki.com/index.php/~{0}
dsb|https://dsb.wikipedia.org/wiki/~{0}
dv|https://dv.wikipedia.org/wiki/~{0}
dwjwiki|http://www.suberic.net/cgi-bin/dwj/wiki.cgi?~{0}
dz|https://dz.wikipedia.org/wiki/~{0}
ecoreality|http://www.EcoReality.org/wiki/~{0}
ecxei|http://www.ikso.net/cgi-bin/wiki.pl?~{0}
ee|https://ee.wikipedia.org/wiki/~{0}
egl|https://eml.wikipedia.org/wiki/~{0}
el|https://el.wikipedia.org/wiki/~{0}
elibre|http://enciclopedia.us.es/index.php/~{0}
emacswiki|http://www.emacswiki.org/cgi-bin/wiki.pl?~{0}
eml|https://eml.wikipedia.org/wiki/~{0}
en|https://en.wikipedia.org/wiki/~{0}
encyc|http://encyc.org/wiki/~{0}
energiewiki|http://www.netzwerk-energieberater.de/wiki/index.php/~{0}
englyphwiki|http://en.glyphwiki.org/wiki/~{0}
enkol|http://enkol.pl/~{0}
eo|https://eo.wikipedia.org/wiki/~{0}
eokulturcentro|http://esperanto.toulouse.free.fr/nova/wikini/wakka.php?wiki=~{0}
epo|https://eo.wikipedia.org/wiki/~{0}
es|https://es.wikipedia.org/wiki/~{0}
esolang|http://esolangs.org/wiki/~{0}
et|https://et.wikipedia.org/wiki/~{0}
etherpad|https://etherpad.wikimedia.org/~{0}
ethnologue|https://www.ethnologue.com/language/~{0}
ethnologuefamily|https://www.ethnologue.com/show_family.asp?subid=~{0}
eu|https://eu.wikipedia.org/wiki/~{0}
evowiki|http://wiki.cotch.net/index.php/~{0}
exotica|http://www.exotica.org.uk/wiki/~{0}
ext|https://ext.wikipedia.org/wiki/~{0}
eĉei|http://www.ikso.net/cgi-bin/wiki.pl?~{0}
fa|https://fa.wikipedia.org/wiki/~{0}
fanimutationwiki|http://wiki.animutationportal.com/index.php/~{0}
ff|https://ff.wikipedia.org/wiki/~{0}
fi|https://fi.wikipedia.org/wiki/~{0}
finalfantasy|http://finalfantasy.wikia.com/wiki/~{0}
finnix|http://www.finnix.org/~{0}
fiu-vro|https://fiu-vro.wikipedia.org/wiki/~{0}
fj|https://fj.wikipedia.org/wiki/~{0}
flickrphoto|https://www.flickr.com/photo.gne?id=~{0}
flickruser|https://www.flickr.com/people/~{0}
floralwiki|http://www.floralwiki.co.uk/wiki/~{0}
fo|https://fo.wikipedia.org/wiki/~{0}
foldoc|http://foldoc.org/~{0}
forthfreak|http://wiki.forthfreak.net/index.cgi?~{0}
foundation|https://wikimediafoundation.org/wiki/~{0}
foxwiki|http://fox.wikis.com/wc.dll?Wiki~~~{0}
fr|https://fr.wikipedia.org/wiki/~{0}
freebio|http://freebiology.org/wiki/~{0}
freebsdman|http://www.FreeBSD.org/cgi/man.cgi?apropos=1&query=~{0}
freeculturewiki|http://wiki.freeculture.org/index.php/~{0}
freedomdefined|http://freedomdefined.org/~{0}
freefeel|http://freefeel.org/wiki/~{0}
freekiwiki|http://wiki.freegeek.org/index.php/~{0}
freenode|irc://irc.freenode.net/~{0}
freesoft|https://directory.fsf.org/wiki/~{0}
frp|https://frp.wikipedia.org/wiki/~{0}
frr|https://frr.wikipedia.org/wiki/~{0}
fur|https://fur.wikipedia.org/wiki/~{0}
fy|https://fy.wikipedia.org/wiki/~{0}
ga|https://ga.wikipedia.org/wiki/~{0}
gag|https://gag.wikipedia.org/wiki/~{0}
gan|https://gan.wikipedia.org/wiki/~{0}
ganfyd|http://ganfyd.org/index.php?title=~{0}
gardenology|http://www.gardenology.org/wiki/~{0}
gausswiki|http://gauss.ffii.org/~{0}
gd|https://gd.wikipedia.org/wiki/~{0}
gentoo|https://wiki.gentoo.org/wiki/~{0}
genwiki|http://wiki.genealogy.net/index.php/~{0}
gerrit|https://gerrit.wikimedia.org/r/~{0}
git|https://gerrit.wikimedia.org/r/gitweb?p=mediawiki/~{0};a=log;h=refs/heads/master
gl|https://gl.wikipedia.org/wiki/~{0}
glk|https://glk.wikipedia.org/wiki/~{0}
globalvoices|http://cyber.law.harvard.edu/dyn/globalvoices/wiki/~{0}
glossarwiki|http://glossar.hs-augsburg.de/~{0}
glossarywiki|http://glossary.hs-augsburg.de/~{0}
gn|https://gn.wikipedia.org/wiki/~{0}
gom|https://gom.wikipedia.org/wiki/~{0}
google|https://www.google.com/search?q=~{0}
googledefine|https://www.google.com/search?q=define:~{0}
googlegroups|https://groups.google.com/groups?q=~{0}
got|https://got.wikipedia.org/wiki/~{0}
greatlakeswiki|http://greatlakeswiki.org/index.php/~{0}
gsw|https://als.wikipedia.org/wiki/~{0}
gu|https://gu.wikipedia.org/wiki/~{0}
guildwarswiki|http://wiki.guildwars.com/wiki/~{0}
guildwiki|http://guildwars.wikia.com/wiki/~{0}
gutenberg|http://www.gutenberg.org/etext/~{0}
gutenbergwiki|http://www.gutenberg.org/wiki/~{0}
gv|https://gv.wikipedia.org/wiki/~{0}
h2wiki|http://halowiki.net/p/~{0}
ha|https://ha.wikipedia.org/wiki/~{0}
hackerspaces|http://hackerspaces.org/wiki/~{0}
hak|https://hak.wikipedia.org/wiki/~{0}
hammondwiki|http://www.dairiki.org/HammondWiki/index.php3?~{0}
haw|https://haw.wikipedia.org/wiki/~{0}
hdl|http://hdl.handle.net/~{0}
he|https://he.wikipedia.org/wiki/~{0}
heroeswiki|http://heroeswiki.com/~{0}
hi|https://hi.wikipedia.org/wiki/~{0}
hif|https://hif.wikipedia.org/wiki/~{0}
ho|https://ho.wikipedia.org/wiki/~{0}
hr|https://hr.wikipedia.org/wiki/~{0}
hrfwiki|http://fanstuff.hrwiki.org/index.php/~{0}
hrwiki|http://www.hrwiki.org/index.php/~{0}
hsb|https://hsb.wikipedia.org/wiki/~{0}
ht|https://ht.wikipedia.org/wiki/~{0}
hu|https://hu.wikipedia.org/wiki/~{0}
hupwiki|http://wiki.hup.hu/index.php/~{0}
hy|https://hy.wikipedia.org/wiki/~{0}
hz|https://hz.wikipedia.org/wiki/~{0}
ia|https://ia.wikipedia.org/wiki/~{0}
iarchive|https://archive.org/details/~{0}
id|https://id.wikipedia.org/wiki/~{0}
ie|https://ie.wikipedia.org/wiki/~{0}
ig|https://ig.wikipedia.org/wiki/~{0}
ii|https://ii.wikipedia.org/wiki/~{0}
ik|https://ik.wikipedia.org/wiki/~{0}
ilo|https://ilo.wikipedia.org/wiki/~{0}
imdbcharacter|http://www.imdb.com/character/ch~{0}/
imdbcompany|http://www.imdb.com/company/co~{0}/
imdbname|http://www.imdb.com/name/nm~{0}/
imdbtitle|http://www.imdb.com/title/tt~{0}/
incubator|https://incubator.wikimedia.org/wiki/~{0}
infosecpedia|http://infosecpedia.org/wiki/~{0}
infosphere|http://theinfosphere.org/~{0}
io|https://io.wikipedia.org/wiki/~{0}
irc|irc://irc.freenode.net/~{0}
ircrc|irc://irc.wikimedia.org/~{0}
is|https://is.wikipedia.org/wiki/~{0}
iso639-3|http://www-01.sil.org/iso639-3/documentation.asp?id=~{0}
issn|http://www.worldcat.org/issn/~{0}
it|https://it.wikipedia.org/wiki/~{0}
iu|https://iu.wikipedia.org/wiki/~{0}
iuridictum|http://iuridictum.pecina.cz/w/~{0}
ja|https://ja.wikipedia.org/wiki/~{0}
jaglyphwiki|http://glyphwiki.org/wiki/~{0}
javanet|http://wiki.java.net/bin/view/Main/~{0}
javapedia|http://wiki.java.net/bin/view/Javapedia/~{0}
jbo|https://jbo.wikipedia.org/wiki/~{0}
